PROD_TYP,n,NOK,v_eta,eta_multiplier,v_k,k_multiplier,eta_active,k_active
Mitutoyo||505,26,8,0.0,1.0,0.0,1.0,False,False
Mitutoyo||530,13,1,0.0,1.0,0.0,1.0,False,False
Mitutoyo||533,12,3,0.0,1.0,0.0,1.0,False,False
Mitutoyo||534,1,0,0.0,1.0,0.0,1.0,False,False
Mitutoyo||536,6,1,0.0,1.0,0.0,1.0,False,False
Mitutoyo||550,26,5,0.0,1.0,0.0,1.0,False,False
Mitutoyo||551,61,29,0.0,1.0,0.0,1.0,False,False
Mitutoyo||552,5,2,0.0,1.0,0.0,1.0,False,False
Mitutoyo||561,1,0,0.0,1.0,0.0,1.0,False,False
Mitutoyo||573,9,5,0.0,1.0,0.0,1.0,False,False
Samson||906,1,1,0.0,1.0,0.0,1.0,False,False
Samson||MPS300,2,0,0.0,1.0,0.0,1.0,False,False
Schut||11016551,2,0,0.0,1.0,0.0,1.0,False,False
Schut||906,157,131,-1.3550356378580581,0.2579381019265614,0.010498619543090055,1.010553923417917,True,True
Shut||906,1,1,0.0,1.0,0.0,1.0,False,False
Smiec||10-8904,1,1,0.0,1.0,0.0,1.0,False,False
Somet||11015611,7,1,0.0,1.0,0.0,1.0,False,False
Somet||11016511,37,17,0.0,1.0,0.0,1.0,False,False
Somet||11016551,84,22,0.11965347612020845,1.1271062146823292,0.0,1.0,True,False
Somet||11016611,48,22,0.0,1.0,0.0,1.0,False,False
Somet||11016651,23,8,0.0,1.0,0.0,1.0,False,False
Somet||12030660,1,1,0.0,1.0,0.0,1.0,False,False
Somet||13040560,1,0,0.0,1.0,0.0,1.0,False,False
Somet||13100560,1,1,0.0,1.0,0.0,1.0,False,False
Somet||14015459,1,0,0.0,1.0,0.0,1.0,False,False
Somet||14015472,1,0,0.0,1.0,0.0,1.0,False,False
Somet||14016454,1,0,0.0,1.0,0.0,1.0,False,False
Somet||14016458,85,39,-0.050521887188177926,0.9507331195699064,0.0,1.0,True,False
Somet||14016459,65,34,0.0,1.0,0.0,1.0,False,False
Somet||14016479,6,3,0.0,1.0,0.0,1.0,False,False
Somet||14020459,5,3,0.0,1.0,0.0,1.0,False,False
Somet||14030459,23,15,0.0,1.0,0.0,1.0,False,False
Somet||16030469,2,1,0.0,1.0,0.0,1.0,False,False
Somet||17015251,1,0,0.0,1.0,0.0,1.0,False,False
Somet||241236,1,1,0.0,1.0,0.0,1.0,False,False
Somet||251239,1,0,0.0,1.0,0.0,1.0,False,False
Somet||907,75,41,-0.8764223331516101,0.41626952447094684,0.0,1.0,True,False
Somet||K031250,1,0,0.0,1.0,0.0,1.0,False,False
Somet||MPS150,1,0,0.0,1.0,0.0,1.0,False,False
Somet||MPS200,8,0,0.0,1.0,0.0,1.0,False,False
Somet||MPS300,6,0,0.0,1.0,0.0,1.0,False,False
Somet||MPS39,6,0,0.0,1.0,0.0,1.0,False,False
Somet||MPS400,2,0,0.0,1.0,0.0,1.0,False,False
Somet||MPS600,1,0,0.0,1.0,0.0,1.0,False,False
Sylvac||500,1,1,0.0,1.0,0.0,1.0,False,False
Sylvac||PM200,1,0,0.0,1.0,0.0,1.0,False,False
Sylvac||S225,3,2,0.0,1.0,0.0,1.0,False,False
TESA||00539390,1,1,0.0,1.0,0.0,1.0,False,False
TESA||00539393,1,1,0.0,1.0,0.0,1.0,False,False
TESA||05.30034,5,1,0.0,1.0,0.0,1.0,False,False
"TESA||05.30034,",1,1,0.0,1.0,0.0,1.0,False,False
TESA||539393,1,1,0.0,1.0,0.0,1.0,False,False
Unior||270A,2,0,0.0,1.0,0.0,1.0,False,False
Vigor||V1713,4,4,0.0,1.0,0.0,1.0,False,False
Vogel||202007,3,1,0.0,1.0,0.0,1.0,False,False
